fold,held_out,scenario,model,seed,n_test_windows,test_censored_share,wis_mean,wis_median,fit_seconds,utc
loto_alta2,ALTA2_1301257,S1_fixed_50pct,B0_persistence,fixed,17437,0.15816940367221832,0.07511841931556106,0.04270362854003906,0.0,2026-08-05T04:33:30.144728+00:00
loto_alta2,ALTA2_1301257,S1_fixed_50pct,B4,42,17437,0.15816940367221832,0.059926364570856094,0.026015667244791985,76.8,2026-08-05T04:34:47.233609+00:00
loto_alta2,ALTA2_1301257,S1_fixed_50pct,B4,123,17437,0.15816940367221832,0.059536080807447433,0.02586575411260128,75.8,2026-08-05T04:36:03.360268+00:00
loto_alta2,ALTA2_1301257,S1_fixed_50pct,B6,42,17437,0.15816940367221832,0.04255266860127449,0.026227597147226334,81.3,2026-08-05T04:37:24.944442+00:00
loto_alta2,ALTA2_1301257,S1_fixed_50pct,B6,123,17437,0.15816940367221832,0.0420009009540081,0.026259902864694595,82.6,2026-08-05T04:38:47.861069+00:00
loto_alta2,ALTA2_1301257,S1_fixed_50pct,CLQR,42,17437,0.15816940367221832,0.04728911072015762,0.024915218353271484,52.6,2026-08-05T04:39:40.739305+00:00
loto_alta2,ALTA2_1301257,S1_fixed_50pct,CLQR,123,17437,0.15816940367221832,0.046835508197546005,0.024901768192648888,56.2,2026-08-05T04:40:37.245965+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,B0_persistence,fixed,17437,0.11928657442331314,0.0708419394758362,0.04168595373630524,0.0,2026-08-05T04:40:38.659064+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,B4,42,17437,0.11928657442331314,0.04997435584664345,0.02503782883286476,80.2,2026-08-05T04:41:59.116578+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,B4,123,17437,0.11928657442331314,0.05026329308748245,0.024862736463546753,80.9,2026-08-05T04:43:20.328066+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,B6,42,17437,0.11928657442331314,0.04069110378623009,0.0261826254427433,78.1,2026-08-05T04:44:38.683036+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,B6,123,17437,0.11928657442331314,0.03997703269124031,0.02576233446598053,84.5,2026-08-05T04:46:03.459358+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,CLQR,42,17437,0.11928657442331314,0.041661910712718964,0.025429099798202515,50.9,2026-08-05T04:46:54.593165+00:00
loto_alta2,ALTA2_1301257,S4_random_uniform,CLQR,123,17437,0.11928657442331314,0.042888443917036057,0.025612307712435722,46.9,2026-08-05T04:47:41.790841+00:00
loto_hot,HOT_T01,S1_fixed_50pct,B0_persistence,fixed,12046,0.2920471429824829,0.16917896883819816,0.10750723630189896,0.0,2026-08-05T04:47:44.315002+00:00
loto_hot,HOT_T01,S1_fixed_50pct,B4,42,12046,0.2920471429824829,0.1351008266210556,0.060194846242666245,73.3,2026-08-05T04:48:57.819291+00:00
