dataset,bin_left_ms,bin_right_ms,n_records,n_free,free_support
ALTA2_real,16.0,17.0,3041,275,0.09043077934889839
ALTA2_real,17.0,18.0,1694,84,0.049586776859504134
ALTA2_real,18.0,19.0,1095,29,0.026484018264840183
ALTA2_real,19.0,20.0,664,17,0.025602409638554216
ALTA2_real,20.0,21.0,408,25,0.061274509803921566
ALTA2_real,21.0,22.0,243,36,0.14814814814814814
ALTA2_real,22.0,23.0,121,24,0.19834710743801653
ALTA2_real,23.0,24.0,57,21,0.3684210526315789
ALTA2_real,24.0,25.0,29,11,0.3793103448275862
ALTA2_real,25.0,26.0,16,2,0.125
ALTA2_real,26.0,27.0,9,1,0.1111111111111111
ALTA2_real,27.0,28.0,4,1,0.25
ALTA2_real,28.0,29.0,0,0,
ALTA2_real,29.0,30.0,0,0,
ALTA2_real,30.0,31.0,0,0,
ALTA2_real,31.0,32.0,0,0,
ALTA2_real,32.0,33.0,0,0,
ALTA2_real,33.0,34.0,0,0,
ALTA2_real,34.0,35.0,0,0,
ALTA2_real,35.0,36.0,0,0,
ALTA2_real,36.0,37.0,0,0,
ALTA2_real,37.0,38.0,0,0,
