run,contamination_mode,intensity_factor,inference_role,family,scenario,reference,challenger,window_type,n_windows,n_clusters,difference_reference_minus_challenger,ci_low,ci_high,sign_flip_p_two_sided,advantage_retained
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B1,B6,censored,2998,16,0.05316629315272292,0.046832368478405446,0.06525280301366172,3.0517578125e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B1,B6,clean,6924,20,-0.0032230637719556643,-0.005995899776580004,-0.0011399244226668879,0.006999930000699993,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B1,B6,all,9922,20,0.016817457131669565,0.00885574796475624,0.023082954708436236,0.0007699923000769992,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B1,B6,censored,2998,16,0.0642937782239026,0.057093699659437204,0.07592467941958067,3.0517578125e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B1,B6,clean,6924,20,-0.0037391590778212856,-0.007085054503027113,-0.0012019351415639976,0.00952990470095299,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S2_fixed_70pct,BT,B6,all,9922,20,0.0038740084010967265,4.7179801477474615e-05,0.006975713474988735,0.14109858901410985,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S2_fixed_70pct,BT,B6,censored,2998,16,0.015423207830766922,0.012119657290201601,0.017038142660977428,3.0517578125e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S2_fixed_70pct,BT,B6,clean,6924,20,-0.001126641496383235,-0.003638801662676418,0.0015007491118707193,0.4187558124418756,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S2_fixed_70pct,BT,B6,all,9922,20,0.0032487276587997594,2.0484524103354458e-05,0.005988064318910276,0.14686853131468686,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S2_fixed_70pct,BT,B6,censored,2998,16,0.014538983502046262,0.01123744448425803,0.016128718572101346,3.0517578125e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S2_fixed_70pct,BT,B6,clean,6924,20,-0.0016398031063725425,-0.0037022177842577315,0.0004914907621518472,0.13689863101368988,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S2_fixed_70pct,BQR,B6,all,9922,20,0.029902227124925032,0.01194138934408769,0.04350921281773437,0.0013299867001329987,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S2_fixed_70pct,BQR,B6,censored,2998,16,0.10226609999130046,0.0818035946710356,0.11193651153651368,3.0517578125e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S2_fixed_70pct,BQR,B6,clean,6924,20,-0.0014303683189504123,-0.005644674121617657,0.0026966532279213426,0.5351346486535135,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S2_fixed_70pct,BQR,B6,all,9922,20,0.03159775039587265,0.012103208625040072,0.04622917692804449,0.0017299827001729983,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S2_fixed_70pct,BQR,B6,censored,2998,16,0.10992664478116887,0.08759311686116422,0.12030233287468374,3.0517578125e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S2_fixed_70pct,BQR,B6,clean,6924,20,-0.0023176201077550434,-0.006914680311171369,0.0021367766593215548,0.3359566404335957,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S2_fixed_70pct,B0_persistence,B6,all,9922,20,0.08709151756363445,0.0689962224580827,0.1011252153173756,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S2_fixed_70pct,B0_persistence,B6,censored,2998,16,0.16604050741778853,0.13249594281475569,0.1808580876827301,3.0517578125e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S2_fixed_70pct,B0_persistence,B6,clean,6924,20,0.05290765396127254,0.048441945075059056,0.05762470553134912,1.999980000199998e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S2_fixed_70pct,B0_persistence,B6,all,9922,20,0.08720459326582357,0.0687609637203592,0.10146167100191049,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S2_fixed_70pct,B0_persistence,B6,censored,2998,16,0.16853312379939964,0.13557662816662316,0.18312090543143167,3.0517578125e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S2_fixed_70pct,B0_persistence,B6,clean,6924,20,0.05199042016650797,0.047284155934536276,0.05688429645273947,1.999980000199998e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S2_fixed_70pct,B6,ORACLE,all,9922,20,-0.0008425137188700094,-0.0014371140940224317,-8.0168029690647e-05,0.07639923600763993,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S2_fixed_70pct,B6,ORACLE,censored,2998,16,-0.004696486674633133,-0.005926833370580183,-0.004061835243934243,3.0517578125e-05,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S2_fixed_70pct,B6,ORACLE,clean,6924,20,0.0008262053627847919,0.00021182064830052585,0.0015996172837017257,0.011649883501164988,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S2_fixed_70pct,B6,ORACLE,all,9922,20,-0.00035358686152169044,-0.0007090968993586803,7.191837916282715e-05,0.15379846201537983,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S2_fixed_70pct,B6,ORACLE,censored,2998,16,-0.0030555681604457112,-0.0038248969118099252,-0.002534947615964755,0.00030517578125,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S2_fixed_70pct,B6,ORACLE,clean,6924,20,0.0008163351393700214,0.00036141906103822415,0.0013313439458172084,0.003239967600323997,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,all,9922,20,-0.0023136033467082823,-0.0035810463544912077,-0.0009755118782595923,0.00933990660093399,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,censored,2211,15,-0.015173242168778184,-0.016164676101042035,-0.012843100079672404,0.0001220703125,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,clean,7711,20,0.0013736825352261694,-7.509522797403674e-05,0.0028198826452726874,0.12290877091229088,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,all,9922,20,-0.002318589981052404,-0.0036111936633081137,-0.0007949743000148635,0.024229757702422975,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,censored,2211,15,-0.013896449489164332,-0.01722530169742786,-0.01045624903584865,0.000244140625,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,clean,7711,20,0.001001167167493241,-8.63950390236866e-05,0.0018857442615162238,0.1001189988100119,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,B6,all,9922,20,0.015438575805872141,0.0064255842764848,0.02232792027405722,0.003029969700302997,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,B6,censored,2211,15,0.0725492565851357,0.059868315912043994,0.078043597033276,6.103515625e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,B6,clean,7711,20,-0.0009369546315486498,-0.0025722851718795506,0.00040483200961644245,0.26821731782682173,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,B6,all,9922,20,0.014965505173560415,0.006322888123002019,0.02159452897723242,0.0016199838001619985,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,B6,censored,2211,15,0.06899332423525521,0.05626378756348843,0.07452156674753672,6.103515625e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,B6,clean,7711,20,-0.000526066340563205,-0.0019472205648442432,0.0006936177020243869,0.4742052579474205,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,BT,all,9922,20,0.013333622851931185,0.005895887885723877,0.018641744756092534,0.0016499835001649984,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,BT,censored,2211,15,0.062102945832630825,0.05346859869583268,0.06682072440105957,6.103515625e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,BT,clean,7711,20,-0.0006501630526631462,-0.00224121848467507,0.0010914279619709455,0.47623523764762354,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S3_fixed_85pct,B4,BT,all,9922,20,0.012783655244929817,0.005798073544760558,0.017832910187739623,0.0013699863001369987,True
